rider_id,age,ratings,restaurant_latitude,restaurant_longitude,delivery_latitude,delivery_longitude,weather,traffic,vehicle_condition,type_of_order,type_of_vehicle,multiple_deliveries,festival,city_type,time_taken,city_name,order_day,order_month,order_day_of_week,is_weekend,pickup_time_minutes,order_time_hour,order_time_of_day,distance,distance_type
INDORES13DEL02 ,37.0,4.9,22.745049,75.892471,22.765049,75.912471,sunny,high,2,snack,motorcycle,0.0,no,urban,24,INDO,19,3,saturday,1,15.0,11.0,morning,3.0251492856775037,short
BANGRES18DEL02 ,34.0,4.5,12.913041,77.683237,13.043041,77.813237,stormy,jam,2,snack,scooter,1.0,no,metropolitian,33,BANG,25,3,friday,0,5.0,19.0,evening,20.183529728733618,very_long
BANGRES19DEL01 ,23.0,4.4,12.914264,77.6784,12.924264,77.6884,sandstorms,low,0,drinks,motorcycle,1.0,no,urban,26,BANG,19,3,saturday,1,15.0,8.0,morning,1.5527578022548725,short
COIMBRES13DEL02 ,38.0,4.7,11.003669,76.976494,11.053669,77.026494,sunny,medium,0,buffet,motorcycle,1.0,no,metropolitian,21,COIMB,5,4,tuesday,0,10.0,18.0,evening,7.790401360105752,medium
CHENRES12DEL01 ,32.0,4.6,12.972793,80.249982,13.012793,80.289982,cloudy,high,1,snack,scooter,1.0,no,metropolitian,30,CHEN,26,3,saturday,1,15.0,13.0,afternoon,6.2101379656240985,medium
HYDRES09DEL03 ,22.0,4.8,17.431668,78.408321,17.461668,78.438321,cloudy,jam,0,buffet,motorcycle,1.0,no,urban,26,HYD,11,3,friday,0,10.0,21.0,night,4.610365144357058,short
RANCHIRES15DEL01 ,33.0,4.7,23.369746,85.33982,23.479746,85.44982,fog,jam,1,meal,scooter,1.0,no,metropolitian,40,RANCHI,4,3,friday,0,15.0,19.0,evening,16.600361127912656,very_long
MYSRES15DEL02 ,35.0,4.6,12.352058,76.60665,12.482058,76.73665,cloudy,medium,2,meal,motorcycle,1.0,no,metropolitian,32,MYS,14,3,monday,0,5.0,17.0,evening,20.20525323529291,very_long
HYDRES05DEL02 ,22.0,4.8,17.433809,78.386744,17.563809,78.516744,stormy,jam,0,buffet,motorcycle,1.0,no,metropolitian,34,HYD,20,3,sunday,1,10.0,20.0,night,19.975520086221444,very_long
DEHRES17DEL01 ,36.0,4.2,30.327968,78.046106,30.397968,78.116106,fog,jam,2,snack,motorcycle,3.0,no,metropolitian,46,DEH,12,2,saturday,1,15.0,21.0,night,10.280582064621875,long
KOCRES16DEL01 ,21.0,4.7,10.003064,76.307589,10.043064,76.347589,stormy,high,1,meal,motorcycle,1.0,no,metropolitian,23,KOC,13,2,sunday,1,10.0,14.0,afternoon,6.242318682701243,medium
PUNERES13DEL03 ,23.0,4.7,18.56245,73.916619,18.65245,74.006619,sandstorms,medium,1,drinks,scooter,1.0,no,metropolitian,21,PUNE,4,3,friday,0,10.0,17.0,evening,13.787860239172547,long
LUDHRES15DEL02 ,34.0,4.3,30.899584,75.809346,30.919584,75.829346,sandstorms,low,0,buffet,motorcycle,0.0,no,metropolitian,20,LUDH,13,2,sunday,1,10.0,9.0,morning,2.9302578007621216,short
KNPRES14DEL02 ,24.0,4.7,26.463504,80.372929,26.593504,80.502929,fog,jam,1,snack,scooter,1.0,no,metropolitian,41,KNP,14,2,monday,0,15.0,19.0,evening,19.39661829066159,very_long
MUMRES15DEL03 ,29.0,4.5,19.176269,72.836721,19.266269,72.926721,sandstorms,jam,2,buffet,electric_scooter,1.0,no,metropolitian,20,MUM,2,4,saturday,1,10.0,20.0,night,13.763977224427641,long
MYSRES01DEL01 ,35.0,4.0,12.311072,76.654878,12.351072,76.694878,windy,high,1,meal,scooter,1.0,no,metropolitian,33,MYS,1,3,tuesday,0,15.0,14.0,afternoon,6.21800119018663,medium
PUNERES20DEL01 ,33.0,4.2,18.592718,73.773572,18.702718,73.883572,sandstorms,jam,2,snack,motorcycle,1.0,no,metropolitian,40,PUNE,16,3,wednesday,0,10.0,20.0,night,16.849939918016492,very_long
HYDRES14DEL01 ,34.0,4.9,17.426228,78.407495,17.496228,78.477495,cloudy,jam,0,snack,motorcycle,,no,metropolitian,41,HYD,20,3,sunday,1,10.0,20.0,night,10.757108800258132,long
KOLRES15DEL03 ,21.0,4.7,22.552672,88.352885,22.582672,88.382885,windy,jam,0,meal,motorcycle,1.0,no,urban,15,KOL,15,2,tuesday,0,15.0,21.0,night,4.5405743887312955,short
PUNERES19DEL02 ,25.0,4.1,18.563934,73.915367,18.643935,73.995367,sandstorms,jam,0,snack,motorcycle,2.0,no,metropolitian,36,PUNE,16,3,wednesday,0,5.0,20.0,night,12.256076445468295,long
RANCHIRES06DEL02 ,31.0,4.7,23.357804,85.325146,23.487804,85.455146,sandstorms,low,2,meal,electric_scooter,0.0,no,metropolitian,26,RANCHI,10,3,thursday,0,15.0,22.0,night,19.618739348801018,very_long
COIMBRES13DEL01 ,37.0,5.0,11.003669,76.976494,11.013669,76.986494,sandstorms,low,1,snack,motorcycle,1.0,no,metropolitian,20,COIMB,11,3,friday,0,15.0,8.0,morning,1.5581322655568652,short
CHENRES19DEL02 ,33.0,4.3,12.986047,80.218114,13.116047,80.348114,windy,jam,2,meal,scooter,1.0,no,metropolitian,39,CHEN,27,3,sunday,1,15.0,19.0,evening,20.180635114114718,very_long
